article,type
https://www.dailymail.co.uk/sciencetech/article-6103187/Hubble-spots-gigantic-eye-sky-planetary-nebula.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6105501/Dolphins-like-humans.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6106797/Russia-started-test-Robocop-exo-skeleton-armour.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6107381/Physicists-hail-milestone-breakthrough-Higgs-boson.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6109561/From-deforestation-lakes-toxic-sludge-building-smartphone-devastates-Earth.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6109747/Pictures-capture-stomach-churning-moment-280kg-hooded-seal-inflates-NOSE.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6111767/The-raging-battle-Carina-Nebula-Stellar-7-500-light-years-away-home-standoff.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6114227/TVs-Nick-Knowles-says-PROVE-King-Arthurs-Camelot-Cirencester.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6115199/Zero-emission-unmanned-blimp-like-airships-used-police-spy-people-sky.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6115871/SpaceX-installs-bridge-lets-astronauts-walk-Crew-Dragon-rocket.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6116493/Mexican-experts-nearly-1-000-year-old-Maya-text-authentic.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6116553/When-Fall-arrive-Forecasters-reveal-2018-prediction-map.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6119397/The-250-Jurassic-World-robot-raptor-train-just-like-Chris-Pratt-hit-film.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6126001/Scientists-hunting-FIFTH-force-nature.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6126165/Facebook-face-legal-action-deliberate-failure-protect-children-says-whistleblower.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6127277/Scientists-reveal-tactics-people-use-stop-CHEATING.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6127351/Planet-Nine-DOES-exist-Eternally-optimistic-astronomers-say-evidence-it.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6127417/Children-distinguish-leaders-bullies-age-3.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6127459/Oops-Googles-new-Pixel-3-XL-revealed-leaves-Lyft.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6127529/AI-software-scans-satellite-images-predicts-residents-overweight.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6127585/The-AI-bring-dead-live-help-spot-fake-videos.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6127761/US-Russia-fire-blocking-Killer-Robot-rules-backed-conference.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6127959/Google-offer-free-AI-tool-spot-child-sex-abuse-images-online.html,sciencetech
